Yard,Date of Detection,Time of Detection,Species Detected,Number of the Species Detected in the Photo,Sunset Time,Sunrise Time,Number of Bird Feeders,Are of Garden (m^2),Fence Type,Poultry Presence,Relative Abundance of Dogs,Relative Abundance of Predators,Forest Cover within 400m of camera (km^2),Open Land Cover within 400m of camera (km^2),Agricultural Land Cover within 400m of camera (km^2),Developed Land Cover within 400m of camera (km^2),Maximum Housing Unit Density within a 400m buffer (Houses/km^2)
1,4/16/2021,21:05:07,Rat,1,19:51,6:42,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/16/2021,21:16:44,Rat,1,19:51,6:42,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/16/2021,21:36:28,Rat,1,19:51,6:42,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/16/2021,21:45:14,Rat,1,19:51,6:42,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/16/2021,22:34:52,Rat,1,19:51,6:42,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/17/2021,13:35:42,Domestic Dog,1,19:52,6:41,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/17/2021,13:55:45,Domestic Dog,1,19:52,6:41,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/17/2021,13:03:00,Gray Squirrel,1,19:52,6:41,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/17/2021,1:27:40,Rat,1,19:52,6:41,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/17/2021,1:33:56,Rat,1,19:52,6:41,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/17/2021,1:51:58,Rat,1,19:52,6:41,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/17/2021,2:13:15,Rat,1,19:52,6:41,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/17/2021,20:19:48,Rat,1,19:52,6:41,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/17/2021,20:36:32,Rat,1,19:52,6:41,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/17/2021,20:42:16,Rat,1,19:52,6:41,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/17/2021,21:40:05,Rat,1,19:52,6:41,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/17/2021,23:26:02,Rat,1,19:52,6:41,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/17/2021,23:44:44,Rat,1,19:52,6:41,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/18/2021,18:05:48,Gray Squirrel,1,19:53,6:40,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/18/2021,20:26:36,Rat,1,19:53,6:40,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/18/2021,20:27:18,Rat,1,19:53,6:40,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/18/2021,20:38:19,Rat,1,19:53,6:40,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/18/2021,20:47:36,Rat,1,19:53,6:40,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/18/2021,21:13:52,Rat,1,19:53,6:40,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/18/2021,21:24:04,Rat,1,19:53,6:40,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/19/2021,11:39:11,Gray Squirrel,1,19:54,6:38,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/19/2021,23:24:06,Rat,1,19:54,6:38,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/20/2021,12:38:29,Bird,1,19:55,6:37,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/20/2021,16:20:30,Gray Squirrel,1,19:55,6:37,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/20/2021,0:11:32,Rat,1,19:55,6:37,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/20/2021,0:35:26,Rat,1,19:55,6:37,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/20/2021,20:39:09,Rat,1,19:55,6:37,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/21/2021,9:30:36,Bird,1,19:56,6:36,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/21/2021,8:37:04,Gray Squirrel,1,19:56,6:36,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/21/2021,10:44:05,Gray Squirrel,1,19:56,6:36,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/21/2021,11:06:07,Gray Squirrel,1,19:56,6:36,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/21/2021,14:14:33,Gray Squirrel,1,19:56,6:36,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/21/2021,18:16:46,Gray Squirrel,1,19:56,6:36,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/21/2021,2:40:20,Rat,1,19:56,6:36,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/21/2021,20:12:45,Rat,1,19:56,6:36,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/21/2021,20:53:54,Rat,1,19:56,6:36,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/21/2021,21:03:02,Rat,1,19:56,6:36,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/21/2021,21:13:22,Rat,1,19:56,6:36,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/21/2021,22:03:25,Rat,1,19:56,6:36,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/22/2021,20:40:04,Rat,1,19:57,6:35,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/22/2021,1:19:34,Red Fox,1,19:57,6:35,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/23/2021,2:19:48,Rat,1,19:57,6:33,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/23/2021,2:46:40,Rat,1,19:57,6:33,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/23/2021,20:49:08,Rat,1,19:57,6:33,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/24/2021,14:24:30,Domestic Dog,1,19:58,6:32,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/24/2021,10:51:27,Gray Squirrel,1,19:58,6:32,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/24/2021,11:12:29,Gray Squirrel,1,19:58,6:32,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/24/2021,13:50:43,Gray Squirrel,1,19:58,6:32,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/24/2021,15:06:48,Gray Squirrel,1,19:58,6:32,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/24/2021,15:55:46,Gray Squirrel,1,19:58,6:32,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/24/2021,20:52:44,Mouse,1,19:58,6:32,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/24/2021,21:04:59,Mouse,1,19:58,6:32,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/24/2021,4:55:25,Rat,1,19:58,6:32,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/24/2021,5:59:48,Rat,1,19:58,6:32,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/24/2021,20:31:55,Rat,1,19:58,6:32,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/24/2021,21:26:22,Rat,1,19:58,6:32,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/24/2021,21:59:05,Rat,1,19:58,6:32,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/24/2021,22:17:26,Rat,1,19:58,6:32,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/24/2021,22:38:19,Rat,1,19:58,6:32,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/25/2021,17:45:19,Domestic Dog,1,19:59,6:31,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/25/2021,19:13:55,Domestic Dog,1,19:59,6:31,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/25/2021,8:49:18,Gray Squirrel,1,19:59,6:31,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/25/2021,11:14:58,Gray Squirrel,1,19:59,6:31,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/25/2021,5:59:47,Rat,1,19:59,6:31,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/25/2021,21:18:07,Rat,1,19:59,6:31,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/25/2021,22:02:45,Rat,1,19:59,6:31,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/25/2021,22:13:28,Rat,1,19:59,6:31,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/26/2021,4:00:21,Domestic Cat,1,20:00,6:30,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/26/2021,8:27:46,Gray Squirrel,1,20:00,6:30,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/26/2021,9:33:26,Gray Squirrel,1,20:00,6:30,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/26/2021,21:03:12,Rat,1,20:00,6:30,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/27/2021,0:49:51,Domestic Cat,1,20:01,6:29,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/27/2021,12:33:06,Gray Squirrel,1,20:01,6:29,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/27/2021,18:36:46,Gray Squirrel,1,20:01,6:29,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/27/2021,20:20:19,Rat,1,20:01,6:29,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/28/2021,16:21:05,Gray Squirrel,1,20:02,6:28,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/28/2021,17:43:07,Gray Squirrel,1,20:02,6:28,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/28/2021,20:24:44,Rat,1,20:02,6:28,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/28/2021,20:30:52,Rat,1,20:02,6:28,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/29/2021,13:05:09,Bird,1,20:03,6:26,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/29/2021,12:16:05,Gray Squirrel,1,20:03,6:26,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/29/2021,12:35:10,Gray Squirrel,1,20:03,6:26,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/29/2021,14:49:16,Gray Squirrel,1,20:03,6:26,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/29/2021,20:48:24,Rat,1,20:03,6:26,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/29/2021,21:01:38,Rat,1,20:03,6:26,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/30/2021,8:07:00,Bird,1,20:04,6:25,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/30/2021,2:55:31,Domestic Cat,1,20:04,6:25,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/30/2021,10:28:04,Gray Squirrel,1,20:04,6:25,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/30/2021,15:23:39,Gray Squirrel,1,20:04,6:25,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/30/2021,20:57:46,Rat,1,20:04,6:25,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/30/2021,21:37:53,Rat,1,20:04,6:25,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,4/30/2021,23:49:43,Rat,1,20:04,6:25,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,5/1/2021,7:35:26,Bird,1,20:04,6:24,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,5/1/2021,20:40:37,Rat,1,20:04,6:24,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,5/1/2021,21:48:03,Rat,1,20:04,6:24,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,5/2/2021,20:33:40,Rat,1,20:05,6:23,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,5/2/2021,20:38:57,Rat,1,20:05,6:23,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,5/2/2021,20:46:09,Rat,1,20:05,6:23,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,5/2/2021,20:54:06,Rat,1,20:05,6:23,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,5/3/2021,15:30:01,Bird,1,20:06,6:22,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,5/3/2021,4:02:19,Domestic Cat,1,20:06,6:22,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,5/3/2021,20:13:04,Rat,1,20:06,6:22,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,5/3/2021,20:34:19,Rat,1,20:06,6:22,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,5/3/2021,21:09:46,Rat,1,20:06,6:22,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,5/3/2021,21:42:18,Rat,1,20:06,6:22,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,5/3/2021,23:16:24,Rat,1,20:06,6:22,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,5/4/2021,20:41:01,Rat,1,20:07,6:21,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,5/4/2021,21:07:15,Rat,1,20:07,6:21,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,5/4/2021,21:51:49,Rat,1,20:07,6:21,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
1,5/5/2021,14:59:38,Bird,1,20:08,6:20,0,5.65,0,0,0.29,0.02,0.008026,0.067232,0,0.427231,753.1
